EDUCATION,mean,sem
CD01,-0.29198639811115396,0.009150222801341819
CD02,-0.279167404844506,0.0044033228904387985
CD03,-0.284128254952925,0.0038241964479565176
CD04,-0.33121957319593964,0.00391281895598125
