date,unemployment,change_radius_gyr_time,change_entropy_of_places_time,change_C,change_A,change_D
2020-03-13,0,12.267094186863758,4.128676889572769,6.1472156960535935,-10.831186790390618,7.131816507886962
2020-03-14,1,-2.1244774729251237,3.0900610765064895,-2.2456572063523645,-0.7232319929487119,21.119480411950743
2020-03-14,0,15.082813187729972,3.535475579292102,6.792807193366086,11.89989989405369,37.79039175621057
2020-03-15,0,14.305762994717885,1.6230733739556191,6.66586000885982,14.077097769587413,49.30360183665785
2020-03-15,1,-3.1521877789281727,0.5207436234495155,-2.4083330130128777,-0.8237553221695204,41.014594188256716
2020-03-16,1,-8.055815138805967,-3.2306881167431523,-3.146675085477716,-27.74878642308906,28.735240258398598
2020-03-16,0,9.271957157989853,-0.22222300432571673,6.235895701301529,-18.14046679014214,27.263684653100025
2020-03-17,0,5.159917233176481,-1.2381792644320821,6.068936845167766,-17.088612000712672,11.6352808963046
2020-03-17,1,-11.585315325434586,-5.968705480119407,-2.589648074323181,-27.40365830761643,15.215670696881018
2020-03-18,0,3.8522172187687165,-1.8695180741391315,6.000194212075743,-28.322213672288484,-2.1103247234913116
2020-03-18,1,-12.769182334569928,-8.38538672880601,-2.638016833847513,-37.3845488856883,-11.083854530240282
2020-03-19,1,-13.58915377874843,-10.959212849776412,-2.4837910116174036,-42.76771855268303,-9.353737758944193
2020-03-19,0,2.9988991431333156,-2.8316200411684145,5.65644448540368,-31.58772633439824,2.6119122234286243
2020-03-20,1,-14.279517024773247,-13.582953741185854,-2.906999912257633,-51.57576591572347,-0.519151067738663
2020-03-20,0,1.9152365922548986,-4.357943174272694,5.054357917860354,-38.8992652505609,12.027587276095465
2020-03-21,0,0.7241066378855354,-6.4463492262359035,3.7773026764218645,-45.015390988141455,46.36867019500468
2020-03-21,1,-15.723155202847073,-16.256088527263213,-4.301913370973103,-57.80794442860921,36.12523014327058
2020-03-22,1,-19.29306423931807,-21.106757416204434,-6.718395128483939,-69.92780227262189,75.36505008009867
2020-03-22,0,-3.385377240697107,-10.0394863014853,1.5242418486223255,-58.56234014248231,77.12185122066785
2020-03-23,0,-8.918009344357857,-13.470031951701767,0.14452287602589367,-46.347718220569995,43.185193833502574
2020-03-23,1,-24.263134986045298,-25.14924630691111,-8.206727187780734,-56.31990530650193,38.71962659325592
2020-03-24,0,-10.351459652002081,-14.624988019644224,-0.373264164089222,-42.121125684473746,-0.6453949996582724
2020-03-24,1,-24.859098344867757,-27.05374841963608,-8.305246539609817,-55.05996467836437,-13.9540091978909
2020-03-25,1,-25.609285233604172,-29.198657020412945,-9.116103742479183,-60.64805963690273,-1.4138476476098092
2020-03-25,0,-11.0539280266435,-16.00574071424913,-1.0518952549275324,-46.88282614211587,7.221214042873421
2020-03-26,0,-11.721591580400247,-17.63774801307898,-2.047984129716726,-48.934655521998344,19.999602791920104
2020-03-26,1,-25.93032400719616,-31.65047600223948,-10.247523957110461,-62.56939467934688,8.674874460207157
2020-03-27,1,-26.302363166437082,-34.15508078315378,-11.58292834224468,-61.57437765612163,21.8121924397062
2020-03-27,0,-12.740219760009698,-19.78841697795718,-3.2387918134943856,-48.64642947024825,31.72540819711014
2020-03-28,1,-27.29770802351351,-37.1964184228669,-13.504516832637238,-57.21478557399783,60.17904589832784
2020-03-28,0,-13.660159898299607,-22.513712634157834,-4.8981273782980495,-39.13965808110186,69.97550285195727
2020-03-29,1,-31.291333769468842,-41.0592892569887,-16.23487494259915,-58.699184749907424,104.16029550065137
2020-03-29,0,-18.046962057159945,-26.677138453772542,-7.3740139744827085,-43.02571007783295,108.92964143478588
2020-03-30,1,-36.25604376620836,-44.912864932069716,-18.375631362234422,-65.04483107290976,72.72286162002553
2020-03-30,0,-23.14395306062409,-30.19972590492617,-9.38395462967645,-54.750022729888805,67.92819375813814
