centered_day,zscore_radius_gyr_time,zscore_entropy_of_places_time,sem_radius_gyr_time,sem_entropy_of_places_time,zscore_C,zscore_A,zscore_D,sem_C,sem_A,sem_D
-100,-0.018374436423689685,-0.04028372649798951,0.005254225562777478,0.005750280954750092,0.06666139131708451,0.016102288847079604,0.015194992831129782,0.005051553641441752,0.004735226016882201,0.004859472663293111
-99,-0.020654500690962578,-0.038478647257137656,0.005218972336488095,0.00572903413922693,0.06317700938621043,0.01711990915547347,0.02178764131602756,0.005008064950442782,0.004833556743433022,0.0048066865098955885
-98,-0.018700500524164995,-0.038225329935120005,0.005209884927533102,0.00566760167562034,0.06308074647095654,0.03947842682570555,0.04490474207016,0.004990583958294642,0.0049742942255357695,0.004922850740670545
-97,-0.0118688309664152,-0.03581037028830065,0.005254714386068133,0.005626408428653693,0.06390857509626789,0.014618037843987807,0.03492801649021756,0.004942713279183807,0.004687926624524984,0.004908212324401915
-96,-0.011563370298877879,-0.03577960829079465,0.005233529111724763,0.005601805035599827,0.06349070733403057,0.018197443233402784,0.028562911452626166,0.004897093825760701,0.004703419043675739,0.004643855426990535
-95,-0.009164245125301378,-0.03405995997856051,0.005255696140138145,0.0055668229222676086,0.058827730648376576,0.006398161669154948,0.0009106369100383192,0.004858775282502968,0.004569673282350607,0.004528149306513508
-94,-0.006254205056672725,-0.03181408560562029,0.0052248310531838905,0.005519099351240414,0.055828217623883306,0.004812841622116145,0.013167054227273716,0.004809305820256063,0.004539437862363814,0.0045312638931236686
-93,-0.004619459757406691,-0.031610355641352825,0.005230652527763977,0.005498567257568561,0.0571035071366951,0.002990598978001202,0.008594150036347564,0.004770755300488358,0.004465965734950788,0.004513924022422368
-92,-0.0045971308995363365,-0.02425023296356312,0.005159013154263722,0.005453683273165656,0.05608646322155141,0.025198787010664924,0.012981337918891543,0.0047314775121460205,0.004601031738421751,0.00441926984588924
-91,-0.004171342569786642,-0.02281256507609096,0.005079457821840514,0.005393288714892965,0.05443422196031396,0.031111347116151804,0.04291101060579197,0.004695386921610549,0.004541638847093148,0.004714992631143437
-90,-0.007763181798095452,-0.022934427421833978,0.004980813916723927,0.005317715604015226,0.04982087482285719,0.013231660390043174,0.02053165714519151,0.004621072162039893,0.004331521013201547,0.004489415739202563
-89,-0.009320211745352929,-0.01813767236541605,0.004939098819437874,0.005283144840393725,0.05146668158207934,0.02382258089432446,0.003918192477063766,0.0045782277719686485,0.004430534121820673,0.0042583223140330315
-88,-0.009073387672005051,-0.017355567414527238,0.00490807818067687,0.005231017642414902,0.05233211625895824,0.018928759180084173,0.029463680002949355,0.004519060710913294,0.004278368104000872,0.0044214474790401125
-87,-0.005877136053957502,-0.012583641265059365,0.004946375696787256,0.005198895307483841,0.04791878179335086,0.006557417070533498,0.01567186315852075,0.004457160056659994,0.004258599242461655,0.0042247564077298235
-86,-0.0017006949156324208,-0.012045562805090514,0.004962969943804147,0.005171085162439502,0.04629134792134843,0.0239181565461068,0.038803464940299,0.004398802715400153,0.004216095858949466,0.004342368244413021
-85,-0.002303612020370479,-0.009385687606721118,0.004877313327646465,0.005122445473594731,0.046592352032455826,0.01957225684230795,0.01892224860617503,0.004370064637257014,0.004267947254937872,0.004224655371333027
-84,-0.007053782910627028,-0.004229836160936394,0.004757092660696166,0.005082304432167955,0.04482307274812226,0.01301387844226806,0.03948203766083537,0.004330563197853534,0.0040647238547342635,0.004380444770274911
-83,-0.004975955268824051,-0.0035162002089235214,0.004756462544152994,0.005044375338835235,0.043243080674891375,0.02639985836695348,0.028806215999413114,0.004259316625991864,0.004100193294993008,0.004115399990459877
-82,-0.0015781267453355153,-0.002708594524734332,0.0047706501209446,0.005009087971228484,0.04254120005877588,0.024300264752963215,0.03048691745859019,0.004192336762646344,0.004038583934477939,0.004125943865775947
-81,0.0008667980247952675,0.0005327659555800442,0.004754089877346708,0.004967688040846787,0.038830725814493726,0.006197225324041584,0.03743676384091003,0.004094088278237418,0.003960583469136977,0.0040699252396908464
-80,0.0002618779491734128,0.0024280262366736774,0.00470032841992235,0.004914364359887815,0.03760485153254671,-0.0058100615612198415,0.017043725145204483,0.003997207459594058,0.0037579466948929057,0.0038451803919393734
-79,0.0009949088549762492,0.0031011250476476186,0.004656977656500183,0.004885835027487772,0.03747685870880958,0.012166450851867074,0.010539519922870257,0.0039014116562291518,0.0037985935584278615,0.0038116884865430863
-78,-0.0012277388615852937,0.002324152904702223,0.004586173360168155,0.004821798179663165,0.0381784621710858,0.027092657058791478,0.027751144618853668,0.003861509938313292,0.0038509003280207087,0.003841994455535597
-77,-0.001299309784094038,0.002915410469239481,0.004562795262438881,0.004777240020333919,0.0339726420734542,0.007121247455232868,0.038623374161341914,0.0038111820163536053,0.003729293508234068,0.003803781164181611
-76,-0.0014905936274243496,0.005773446995103843,0.004500457428787477,0.004750148238901141,0.03346263279213118,0.02165597711010918,0.02382442015107684,0.0036934673280228734,0.0036263418897886064,0.003667857708337359
-75,-0.0029752320499418995,0.007295310910064431,0.004442433885466459,0.004715553824104696,0.03330014396627087,0.013345536100055124,0.03550926216918385,0.00358188860752694,0.003473802064446357,0.003590023203479878
-74,-0.0025087627666398743,0.007103705503168958,0.0044027416777197214,0.004657694790493361,0.03410816474871905,0.01660774884059711,0.011650458977027855,0.0034918549965906255,0.003401769221962203,0.003408252157143817
-73,-0.0030777674721747255,0.008909780187638555,0.004352367250425686,0.004621252412271986,0.03253635972470885,0.019376578046646234,0.019364629246597567,0.00339259857707408,0.0033560019514887866,0.0033002316340127063
-72,-0.005417274628293079,0.006068944551610538,0.004310923044868306,0.004589454782345509,0.031630511140774004,0.012295667514344947,0.0133028737886733,0.0032430542574858998,0.0031572904396861196,0.003249379090605209
-71,-0.006541379991064504,0.005452906480539459,0.004260728402988877,0.004530336832459318,0.03297180767749443,0.017000143767853058,0.012429286550571897,0.0032025653953512228,0.003162320299743511,0.003208269658531891
-70,-0.007116824574980987,0.005157430097039172,0.004238242909349018,0.0044776919989893684,0.030334040722948947,0.01911461602677226,0.03883258260205305,0.0031558579145704807,0.0031417400556247835,0.0032742594662320498
-69,-0.008158182104795023,0.007787247260692141,0.004171586631593437,0.004434685109501301,0.017730784840033608,0.017540355896282743,0.020856954916201684,0.0028505594516575234,0.0028586088055946456,0.0028462480647383835
-68,-0.006917861296153915,0.007268829364622897,0.004159023748695814,0.004403878216390017,0.009483855319131535,0.002679684840671486,0.027365743670575877,0.0026892478783506818,0.0026791202972741885,0.0028142332830267723
-67,-0.011723481164369352,0.006273444338711454,0.004063414149882856,0.004358049561004933,0.005933707526439005,0.0025261906740067838,0.011306194102630241,0.0026007607346569526,0.0026218841209199022,0.0026458898271889313
-66,-0.010085817645364042,0.010224765029655632,0.004044470713154578,0.004314768874630263,0.002214727771699962,-0.0053905910442121775,0.018509516011841427,0.002535066505560712,0.002497066304402918,0.0026437616555106294
-65,-0.009774041539587797,0.01222183218728307,0.004012917659414001,0.004296481070331381,-0.0009939482242649798,-0.012472227391399181,0.009755563421231314,0.002493243360325083,0.0024814864315171443,0.0025801391198815565
-64,-0.01207832225233814,0.012517049906755036,0.003942387254276548,0.004258588448744335,8.420905428102887e-05,-0.00405432655319315,0.002972913032577577,0.0024753312509988735,0.0025166344122134333,0.00259079165500481
-63,-0.011101286751768007,0.013287174162405102,0.003948538390563552,0.004216025941176642,0.00015826363574646885,-0.004058288742682354,0.021518509069682997,0.0024630435656412502,0.0024511897759716015,0.002554065059841267
-62,-0.013165240228086697,0.011416730299036363,0.003888520345929904,0.004158414904023448,-0.0003989437545297255,0.016100033394587893,0.017995011006614953,0.0024239618782958636,0.002488321915917563,0.0024907932307619263
-61,-0.01304714103474565,0.010871258846626429,0.0038222646952800624,0.004107572244171946,-0.001275255733359602,0.007660259486127126,0.020615926385963008,0.00240141144198479,0.0024550876091581375,0.0024541650751210772
-60,-0.013108289519839111,0.01084781075036528,0.003799072438493414,0.004064531427026207,-0.0009049382160776515,0.007779451456060835,0.006156865271482685,0.0023773103965642403,0.002399605936016353,0.0023968928038920942
-59,-0.010104229845553165,0.017150408742524253,0.003805780514181097,0.00405027741021176,-0.0013780856794735868,-0.0011684280688996924,0.01720369705712188,0.002355518477040161,0.002357144627814187,0.002474308020347402
-58,-0.008185910204193748,0.01923845640201603,0.0037941598063548033,0.004010571054386412,-0.002877941599468506,-0.008275159249387291,0.02472953073346549,0.002340101265719889,0.0023246789065195224,0.002449070364175265
-57,-0.006726268051165906,0.014543867153208021,0.0037468207180056472,0.003941362268326217,-0.003547358062380622,-0.010930059900040161,0.00822234989136664,0.002328957740274644,0.002329749665592781,0.002473767401530781
-56,-0.0077181463223015044,0.010538737505528372,0.0036901704791485706,0.0038658826694925375,-0.0039721531181857225,-0.003907746269169338,0.008616965436869978,0.002318358332117959,0.002337470805576043,0.002389632919073226
-55,-0.005838661609816246,0.0076915550217895624,0.0036285275669452784,0.003786773691782195,-0.003228120755402921,0.011151217310874328,0.021104996989583968,0.0023091924495524377,0.002373360055593794,0.0023871308404752145
-54,-0.007031297880778354,0.002270714046027205,0.0035561452560425835,0.0036949624326935186,-0.0020486421916961987,0.00606312587052888,0.015066866144688135,0.0023013371208066395,0.0023323239383893305,0.0024042535897203982
-53,-0.005079849188252706,-0.005189855754893304,0.0035059681210789146,0.0036046623927058043,-0.0015051791379384698,0.004094524950864315,0.015067390506345497,0.002293024052658733,0.0023488268986664165,0.002388812490888297
-52,-0.0036489939191894014,-0.0014723772063972528,0.003472945654963203,0.0035873524137134353,-0.0012040749020146573,-0.010684799628622477,-0.012717055614945799,0.0022878126406610014,0.0022890041519885804,0.0022836904666063812
-51,-0.0010993503736556462,-0.0003341423237469988,0.003471443262707936,0.0035514952398795784,-0.0006415558233086726,-0.006408311381531866,0.0001192102311762807,0.002280723468980161,0.0023031986222452495,0.0023381009760693305
-50,0.0036771827434410667,-0.005347105108580888,0.0033957546274902403,0.003438397638190178,-0.002174809427854706,-0.019786533251330975,0.014770994158220948,0.0022738603102666712,0.0022536626413208415,0.002396908704821757
